year,atmospheric_pco2_ppm,oae_cdr_gtco2_yr,total_alkalinity_umol_kg,oae_alkalinity_anomaly_umol_kg,surface_ocean_ph,surface_ocean_ph_without_oae,oae_ph_increment
2097,355.5486502143111,0.95,2313.720171866843,13.720171866843181,8.105069021838151,8.103298234801057,0.0017707870370937684
2098,354.67032544633537,0.95,2313.751078431928,13.751078431928006,8.10577283349571,8.103998438257522,0.00177439523818812
2099,353.80129315913706,0.95,2313.780477666047,13.780477666046938,8.106470556994271,8.104692746154662,0.0017778108396093728
2100,352.9550854427884,0.95,2313.808443082599,13.80844308259865,8.107151319913733,8.10537027072357,0.0017810491901624204
2101,352.0934682255015,0.95,2313.835044609691,13.835044609691058,8.10784571527485,8.106061612002394,0.00178410327245615
2102,351.2195030602444,0.95,2313.860348764998,13.86034876499801,8.108551375392313,8.106764392435748,0.0017869829565650974
2103,350.3718369132182,0.95,2313.8844188220883,13.884418822088119,8.109237218199253,8.1074475052277,0.001789712971552504
2104,349.52529443600895,0.95,2313.9073149686415,13.907314968641643,8.109923464191517,8.108131173743113,0.0017922904484048985
2105,348.6770613216426,0.95,2313.929094456951,13.929094456951034,8.110612400514642,8.10881767889774,0.00179472161690164
2106,347.84011762551114,0.95,2313.9498117470816,13.949811747081498,8.111293516282599,8.109496497103596,0.001797019179003101
2107,347.00405847111153,0.95,2313.9695186430495,13.969518643049513,8.111975227722242,8.110176042334567,0.0017991853876750952
2108,346.1856638051151,0.95,2313.98826442236,13.988264422359864,8.112643868416852,8.11084263442835,0.0018012339885018491
2109,345.35055603494595,0.95,2314.006095959225,14.006095959225066,8.113327434328836,8.111524278273372,0.0018031560554643278
2110,344.5403027941967,0.95,2314.0230578417754,14.023057841775314,8.11399200579699,8.112187030178616,0.001804975618373561
2111,343.71615862095217,0.95,2314.039192483552,14.039192483552036,8.114669241337769,8.112862560181435,0.0018066811563333118
2112,342.9068997925314,0.95,2314.054540229564,14.054540229563832,8.115335575289869,8.113527284674918,0.0018082906149512468
2113,342.08666945028733,0.95,2314.06913945717,14.069139457170017,8.116012236103417,8.114202438586586,0.0018097975168309688
2114,341.2855238541616,0.95,2314.083026672044,14.083026672044003,8.116674486937226,8.11486326695104,0.0018112199861857192
2115,340.48932477054296,0.95,2314.0962365994565,14.096236599456502,8.117333932087522,8.11552137582102,0.001812556266502341
2116,339.68726638957594,0.95,2314.108802271107,14.10880227110679,8.11799951101501,8.116185705221762,0.0018138057932475249
2117,338.89652425444456,0.95,2314.120755107719,14.120755107719157,8.118657001252076,8.11684202088195,0.0018149803701259515
2118,338.11094279961026,0.95,2314.1321249976113,14.132124997611092,8.119311476572683,8.117495395445372,0.001816081127310909
2119,337.3413712865898,0.95,2314.1429403714296,14.142940371429633,8.119953873946518,8.118136757244715,0.0018171167018028456
2120,336.5649793042654,0.95,2314.153228273243,14.153228273242803,8.120603195698173,8.118785115451537,0.0018180802466361001
2121,335.7976435688258,0.95,2314.163014428164,14.163014428163866,8.121246193753523,8.119427211427306,0.0018189823262169114
2122,335.0241305548724,0.95,2314.1723233066773,14.172323306677503,8.121895609806257,8.120075790655765,0.0018198191504925632
2123,334.25726317467013,0.95,2314.1811781858287,14.181178185828777,8.122540705298167,8.120720105690706,0.0018205996074609487
2124,333.50036773291856,0.95,2314.189601207428,14.189601207427867,8.123178653098499,8.121357324975188,0.001821328123311261
2125,332.7311820434563,0.95,2314.1976134334163,14.197613433416125,8.123828199350372,8.12200620220229,0.0018219971480828434
2126,331.9581768749646,0.95,2314.205234898532,14.205234898531906,8.124482251746194,8.122659638591513,0.0018226131546814628
2127,331.21590677651807,0.95,2314.212484660408,14.212484660407842,8.12511155562109,8.123288360929733,0.0018231946913580543
2128,330.445158515518,0.95,2314.219380847225,14.219380847224857,8.125766240751984,8.123942524201352,0.0018237165506320707
2129,329.7113947545543,0.95,2314.225940703042,14.225940703042054,8.126390762937536,8.124566551412764,0.0018242115247719681
2130,328.9852107594803,0.95,2314.232180630916,14.232180630915856,8.127010009918898,8.125185341861688,0.0018246680572104879
2131,328.247975266581,0.95,2314.238116233916,14.238116233916179,8.127639864693892,8.125814785284257,0.0018250794096346112
2132,327.5127564665027,0.95,2314.2437623541423,14.24376235414224,8.12826920574386,8.12644375211538,0.0018254536284807443
2133,326.7911761902986,0.95,2314.2491331098354,14.249133109835537,8.128888063649303,8.127062265600385,0.0018257980489178038
2134,326.0760431117602,0.95,2314.254241930683,14.254241930682806,8.129502555438195,8.12767644440102,0.0018261110371753375
2135,325.347934120288,0.95,2314.259101591397,14.259101591397231,8.130129376121348,8.128302991110807,0.0018263850105402213
2136,324.62649165729766,0.95,2314.2637242436617,14.263724243661883,8.130751654971014,8.128925024103772,0.0018266308672423293
