emissions_through_year,fair_timebound_after_flux,cumulative_net_removal_gtco2,fair_p50_cumulative_drawdown_ppm,atmospheric_mass_decrease_equivalent_gtco2,cumulative_apparent_atmospheric_response_fraction
2159,2160,1519.432691835056,119.45746358134454,928.184492027047,0.6108756886796057
2160,2161,1523.9858330946286,119.4048254494412,927.7754937421581,0.6087822298572181
2161,2162,1528.038978424815,119.32445499059992,927.1510152769613,0.6067587465816602
2162,2163,1531.592410338976,119.23218710478409,926.4340938041723,0.6048829228653148
2163,2164,1535.091884269821,119.15091886235587,925.802639560505,0.6030926546138771
2164,2165,1539.0919424953786,119.15994659974155,925.8727850799918,0.6015708090699539
2165,2166,1543.431304398047,119.22081889676952,926.3457628278991,0.6001859364833751
2166,2167,1547.443656008894,119.23794055985684,926.4787981500875,0.5987156912320964
2167,2168,1551.3565616377512,119.27485043202296,926.7655878568183,0.5973904457389483
2168,2169,1555.1773010814263,119.30057235668028,926.9654472114057,0.5960512968951001
2169,2170,1558.912146870647,119.33408236983837,927.2258200136441,0.5947902977566458
2170,2171,1562.5665207113263,119.38013448933657,927.5836449821451,0.5936282601011327
2171,2172,1566.145125301838,119.40245898235185,927.7571062928738,0.5923825904154765
2172,2173,1569.652055407706,119.43142020014557,927.982134955131,0.5912024462734158
2173,2174,1573.0908914632112,119.4775267121683,928.3403825535477,0.5901377902519361
2174,2175,1576.4647784539748,119.52290413347225,928.6929651170793,0.589098454852788
2175,2176,1579.776492400401,119.56307142087809,929.0050649402227,0.5880610766201745
2176,2177,1583.0284963961321,119.60810284398872,929.3549590977923,0.5870740553398309
2177,2178,1586.2229878476019,119.65007916099353,929.6811150809197,0.5860973660093242
2178,2179,1589.3619383012663,119.68514779555352,929.9535983714508,0.5851112801690715
2179,2180,1592.4471270265067,119.73827637987472,930.3664074716265,0.5842369217048048
2180,2181,1595.4801693380668,119.78077031836551,930.6965853737,0.5833332204685613
2181,2182,1598.4625404867868,119.84254058446624,931.1765403413026,0.5825451124164144
2182,2183,1601.3955958167473,119.89207126978124,931.5613937662002,0.5817184686904819
2183,2184,1604.2805877768903,119.94003795994684,931.9340949487869,0.5809046759334049
