year,sector,energy_related,gross_emissions_gtco2,dirty_stock_fraction,annual_transition_investment_usd_tn,cumulative_transition_investment_usd_tn,learning_factor,natural_clean_retirement_fraction,early_retirement_fraction
2028,Buildings,True,2.90450920534283,0.9435065984159873,0.27546630895757007,0.5030357317172836,0.998884281331854,0.03095185215531313,0.0
2028,Aviation and shipping,True,2.224712025891002,0.9713972703279661,0.14092822847770098,0.25484384567143703,1.0,0.015817262573816597,0.0
2028,Other energy,True,3.882840751650806,0.9238204438628744,0.36132399609427535,0.6629154892679965,0.9580350991132831,0.04233004359384563,0.0
2028,Land-use CO2,False,3.490755934577416,0.9152755985143606,0.3244597935726486,0.599512716649713,0.9866580257632052,0.03204704492935858,0.014088704437038219
2029,Power,True,12.056825877497323,0.8269644416028877,0.997915437625491,2.5813915828917446,0.7640638676779166,0.03000860904158798,0.043285220603163775
2029,Industry,True,8.576875367836983,0.8945190030839343,0.6054535326079776,1.5421749583137268,0.85256230585379,0.03755199235994076,0.0067288135546438935
2029,Road transport,True,5.301854130997156,0.8285003942739451,0.6031555678805997,1.5626502136021667,0.7655350423609187,0.060146114459532364,0.01354520815950807
2029,Buildings,True,2.8182223018859376,0.9032735959891004,0.3265121967159302,0.8295479284332137,0.9108572025138896,0.03774026393663949,0.002492738490247365
2029,Aviation and shipping,True,2.2266952201209547,0.9521774010309142,0.1712446840258089,0.4260885296972459,1.0,0.019219869297051866,0.0
2029,Other energy,True,3.7096097991556816,0.8705098170124607,0.42221127349066817,1.0851267627586647,0.8888927571808537,0.04619102219314372,0.007119604657269997
2029,Land-use CO2,False,3.2898315200651616,0.8602278137164826,0.37350730765352474,0.9730200243032376,0.9519247105991171,0.030509186617145353,0.024538598180732677
2030,Power,True,10.974285387873756,0.7387045471914011,1.1241774873889174,3.705569070280662,0.7147839895388193,0.027565481386762923,0.06069441302472362
2030,Industry,True,8.177959261344336,0.8400309462119211,0.7036447440711501,2.245819702384877,0.8052170343456823,0.035780760123357375,0.01870729674865581
2030,Road transport,True,4.807140672486098,0.7384540470741169,0.6773482596330793,2.239998473235246,0.7035549203764617,0.055233359618263006,0.034812987581565105
2030,Buildings,True,2.6984877217135192,0.8529103938780586,0.38119388959964645,1.2107418180328602,0.8495049757519735,0.036130943839564014,0.014232258271477755
2030,Aviation and shipping,True,2.2184930888434784,0.9283384349799685,0.20647521053769638,0.6325637402349423,0.9721064706102797,0.023838966050945695,0.0
2030,Other energy,True,3.486594709079661,0.8058293772224472,0.4843153679837959,1.5694421307424606,0.8404049800592253,0.04352549085062303,0.02115494893939035
2030,Land-use CO2,False,3.0562102698384246,0.7962219917365547,0.42284504078571444,1.3958650650889521,0.9268407215683157,0.028674260457216088,0.035331561522711774
