case,year,temperature_c_above_1750_fair_reference,gmsl_additional_since_2026_m,gmsl_rate_mm_yr,thermal_additional_m,glacier_additional_m,greenland_additional_m,antarctica_additional_m,absolute_climate_driven_component_state_m
high,2159,1.9439010509510293,0.7838872737830775,4.230097839910241,0.28419369205018974,0.12301744099327856,0.19755486248330573,0.17912127825630342,1.0038872737830775
high,2160,1.9234517859445894,0.7880200256611427,4.132751878065166,0.2857248512545554,0.12350697610170878,0.1984732900444946,0.18031490826038382,1.0080200256611427
high,2161,1.9451272380630968,0.7922319550130943,4.211929351951582,0.28728083266118615,0.12400176640338005,0.19942684350053358,0.18152251244799456,1.0122319550130943
high,2162,1.9602105239441543,0.7964954154949173,4.263460481823023,0.28885264445046005,0.12449902004062942,0.20040410857783286,0.18273964242599483,1.0164954154949173
high,2163,1.9310949975663467,0.8006250172137268,4.129601718809495,0.290380441669372,0.12498107659197295,0.20132698181351383,0.18393651713886794,1.0206250172137268
high,2164,1.9793486284764499,0.804945609264617,4.320592050890193,0.29196902969122435,0.12547883731364312,0.2023324726328231,0.18516526962692637,1.024945609264617
high,2165,1.9857262367557371,0.8092810417702367,4.335432505619741,0.2935615739242138,0.12597551616907865,0.20334627977979652,0.18639767189714768,1.0292810417702367
high,2166,1.9782877290619734,0.8135731034497085,4.292061679471715,0.2951393703402264,0.12646576100224532,0.2043435577778246,0.18762441432941196,1.0335731034497084
high,2167,1.9306860866024615,0.8176535751154272,4.080471665718788,0.2966481239563938,0.1269336038322793,0.20525340469390968,0.18881844263284447,1.0376535751154272
high,2168,1.9612425241238896,0.8218508279295276,4.197252814100327,0.2981937811244544,0.1274103233779766,0.20621429553728066,0.1900324278898159,1.0418508279295275
high,2169,1.955761287164118,0.8260134818925826,4.162653963055041,0.2997274764508398,0.12788146886615165,0.20716245499120672,0.19124208158438444,1.0460134818925826
high,2170,1.9384095258437026,0.8300919447441866,4.078462851603959,0.3012331849962435,0.1283423172732439,0.20807703346321182,0.19243940901148737,1.0500919447441865
high,2171,1.9474477726142319,0.8341970536765835,4.105108932396906,0.30274669320332087,0.12880349704946115,0.20900466823340091,0.19364219519040038,1.0541970536765835
high,2172,1.9324329545948713,0.8382280245504055,4.030970873821982,0.3042354357501159,0.12925534869267108,0.20990300702948594,0.19483423307813252,1.0582280245504054
high,2173,1.9374269379375353,0.8422688479083473,4.0408233579418695,0.3057265562080605,0.129705988137297,0.21080729561776151,0.19602900794522826,1.0622688479083473
high,2174,1.9353307874536907,0.8462898406299058,4.020992721558425,0.30721045504929767,0.13015256385217194,0.21170507988847348,0.19722174183996272,1.0662898406299057
high,2175,1.96033849934673,0.8504046553380218,4.1148147081160324,0.30872382344532767,0.1306059337868281,0.21264420282520652,0.19843069528065949,1.0704046553380218
high,2176,1.9533934617442656,0.8544790662759814,4.074410937959572,0.31022334453049544,0.1310533134725363,0.21356807460505234,0.1996343336678974,1.0744790662759813
high,2177,1.9673848470455502,0.8586010908227102,4.122024546728831,0.3117373847808203,0.13150302528719598,0.21451391641808576,0.20084676433660814,1.0786010908227102
high,2178,1.9782106252575884,0.8627573838737745,4.1562930510643525,0.3132616186126958,0.1319537579004968,0.21547615732081954,0.2020658500397624,1.0827573838737745
high,2179,1.969427981277182,0.8668653852399042,4.108001366129654,0.31476948700320995,0.13239783978862718,0.21641968105778087,0.2032783773902861,1.0868653852399042
high,2180,1.9640956355771506,0.8709397865513671,4.074401311462861,0.3162657061366284,0.1328366541353292,0.21735075202799253,0.20448667425141687,1.090939786551367
high,2181,1.933588691398533,0.8748752322217888,3.9354456704217,0.3177162505245893,0.13326016465535473,0.21822503392161796,0.20567378312022672,1.0948752322217887
