year,co2_ppm,co2_forcing_w_m2,non_co2_forcing_w_m2,total_forcing_w_m2,surface_warming_c,deep_ocean_warming_c,earth_energy_imbalance_w_m2,ocean_heat_uptake_w_m2
2068,370.6598342538972,1.539690461892139,0.72,2.2596904618921387,1.3501291172165903,0.6332176381880026,0.5895807438952163,0.6698820860043123
2069,369.0509564728536,1.5164073926907706,0.71,2.2264073926907706,1.3367899278419058,0.6380946418088118,0.572798251950333,0.6528608752693229
2070,367.4632450145136,1.4933309123292353,0.7,2.1933309123292353,1.3234973082194268,0.6428467533731685,0.5561647420618041,0.6359998784483437
2071,365.89611678119616,1.4704556122533685,0.69,2.1604556122533687,1.3102493288173926,0.6474751434881554,0.5396771925062538,0.6192961987716393
2072,364.3490131355719,1.4477763024171342,0.6799999999999999,2.127776302417134,1.297044070158061,0.6519809615130584,0.5233327876316123,0.6027469687178905
2073,362.8213974167292,1.4252879829064689,0.6699999999999999,2.095287982906469,1.283879640610998,0.6563653358333357,0.5071288674706644,0.5863493663842477
2074,361.3127529014152,1.4029858211493178,0.6599999999999999,2.0629858211493177,1.2707541868656085,0.6606293742305344,0.49106289199655984,0.5701006249262133
2075,359.82258112003956,1.3808651335738906,0.6499999999999999,2.0308651335738905,1.2576658995278531,0.6647741643053651,0.4751324158579362,0.5539980373918928
2076,358.3504004557242,1.3589213708082637,0.6399999999999999,1.9989213708082636,1.2446130155376718,0.6688007739257332,0.4593350705881636,0.5380389585621954
2077,356.89574496949933,1.3371501056987254,0.6299999999999999,1.9671501056987253,1.231593818573293,0.6727102516816028,0.4436685521235617,0.5222208049035953
2078,355.4581634064972,1.315547023571195,0.6199999999999999,1.935547023571195,1.2186066382347396,0.6765036273354591,0.42813061207482184,0.5065410533842877
2079,354.0372183473061,1.2941079142772092,0.61,1.9041079142772093,1.2056498485368865,0.6801819122617814,0.41271905163708045,0.4909972396554582
2080,352.6324854760337,1.2728286656593588,0.6,1.872828665659359,1.1927218660601975,0.6837460998720178,0.3974317173428945,0.475586955926235
2081,351.2435529424809,1.251705258145509,0.59,1.8417052581455091,1.1798211479816474,0.6871971660235497,0.38226649809221125,0.4603078487416465
2082,349.87002080047176,1.2307337602404635,0.58,1.8107337602404634,1.1669461901226634,0.6905360694123887,0.3672213230587287,0.44515761679168075
2083,348.5115005080637,1.2099103247310177,0.57,1.7799103247310177,1.1540955250933023,0.6937637519500969,0.35229416019060267,0.4301340088250111
2084,347.16761447828156,1.1892311854580122,0.5599999999999999,1.749231185458012,1.1412677205738277,0.6968811391258383,0.3374830151081869,0.41523482170500137
2085,345.8379956713346,1.1686926545390266,0.5499999999999999,1.7186926545390264,1.1284613777503227,0.6998891403546582,0.3227859302618772,0.4004578986225089
2086,344.52228722110954,1.1482911199492263,0.54,1.6882911199492263,1.115675129905688,0.7027886493131495,0.30820098425589015,0.3858011274656679
2087,343.2201420901912,1.1280230433869525,0.5299999999999999,1.6580230433869523,1.1029076411583818,0.7055805442636351,0.29372629127403393,0.37126243933845127
2088,341.9312227488162,1.107884958365778,0.5199999999999999,1.6278849583657777,1.0901576053363615,0.7082656883679121,0.27936000056469834,0.3568398072153191
2089,340.65520087408237,1.0878734684868192,0.51,1.5978734684868192,1.0774237449715474,0.7108449299915167,0.265100295957015,0.34253124471734064
2090,339.39175706646415,1.0679852458546983,0.5,1.5679852458546983,1.0647048103996481,0.7133191029993448,0.25094539539033356,0.32833480499484347
2091,338.1405805812628,1.048217029608203,0.49,1.538217029608203,1.0519995789507663,0.7156890270433669,0.23689355044610494,0.31424857970227404
2092,336.9013690730777,1.028565624542744,0.4799999999999999,1.508565624542744,1.039306854217309,0.717955507843068,0.22294304587593272,0.3002706980520907
2093,335.67382835175175,1.0090278998065583,0.47,1.4790278998065582,1.0266254653871583,0.7201193374591548,0.20909219912264332,0.28639932593592643
2094,334.45767214853043,0.9896007876564102,0.45999999999999996,1.44960078765641,1.0139542666315164,0.722181294560985,0.19533935983322426,0.27263266510270456
2095,333.2526218914094,0.9702812822616509,0.44999999999999996,1.4202812822616508,1.0012921365383287,0.7241421446881142,0.1816829093637382,0.2589689523848404
2096,332.0584064888244,0.9510664385478361,0.43999999999999995,1.3910664385478362,0.9886379775835157,0.7260026405062805,0.16812126027702723,0.24540645896496854
2097,330.87476212098704,0.931953371073081,0.42999999999999994,1.361953371073081,0.9759907156335104,0.7277635220581067,0.15465285583442845,0.2319434896768572
2098,329.70143203828496,0.9129392529318078,0.41999999999999993,1.3329392529318076,0.9633492994736482,0.7294255170087538,0.14127616948290456,0.21857838233519736
2099,328.5381663662592,0.8940213146817788,0.4099999999999999,1.3040213146817787,0.9507127003579281,0.7309893408867202,0.12798970433902168,0.20530950708989668
2100,327.38472191674526,0.8751968432911972,0.4,1.275196843291197,0.9380799115764559,0.7324556973199567,0.11479199267112117,0.1921352658012728
2101,326.240862004826,0.8564631811034861,0.3899999999999999,1.2464631811034859,0.9254499480375687,0.7338252782674402,0.10168159538101329,0.17905409143320816
2102,325.1063562712903,0.8378177248178574,0.3799999999999999,1.2178177248178574,0.912821845862218,0.7350987642463291,0.08865710148629358,0.1660644474618866
2103,323.9809805103324,0.8192579244843069,0.37,1.189257924484307,0.9001946619886564,0.7362768245548105,0.07571712760433891,0.15316482729818562
2104,322.86451650225825,0.800781282512012,0.36,1.160781282512012,0.8875674737858805,0.7373601174907316,0.06286031743887777,0.14035375372218714
2105,321.756751850988,0.782385352690355,0.34999999999999987,1.132385352690355,0.8749393786745979,0.7383492905661031,0.05008534126987718,0.12762977832857755
2106,320.65747982616887,0.7640677392220862,0.33999999999999997,1.1040677392220861,0.8623094937547553,0.7392449807175487,0.037390895447453776,0.1149914809819658
2107,319.5664992097267,0.7458260957682199,0.32999999999999996,1.0758260957682197,0.8496769554388778,0.7400478145127738,0.02477570189032785,0.10243746928135156
2108,318.4836141466998,0.7276581245044612,0.31999999999999995,1.0476581245044612,0.8370409190906496,0.7407584083531158,0.01223850758932743,0.08996637803315158
2109,317.4086340002099,0.7095615751889962,0.30999999999999994,1.0195615751889961,0.8244005586682942,0.7413773686722398,-0.00022191588368380977,0.07757686873231323
2110,316.3413732104369,0.6915342442415991,0.29999999999999993,0.9915342442415991,0.8117550663724379,0.7419052921310377,-0.012606772861106563,0.0652676290511643
2111,315.28165115746947,0.6735739738340163,0.2899999999999999,0.9635739738340162,0.7991036522982153,0.7423427658087846,-0.024917244058876187,0.05303737233572412
2112,314.2292920279132,0.6556786509916634,0.28,0.9356786509916635,0.7864455440914565,0.7426903673906096,-0.03715448704946833,0.040884837109271384
2113,313.18412468514356,0.6378462067066827,0.27,0.9078462067066827,0.7737799866088416,0.7429486653513329,-0.04931963672845441,0.028808786583016187
2114,312.14598254309544,0.620074615062381,0.2599999999999999,0.8800746150623809,0.7611062415819535,0.7431182191357204,-0.06141380577449562,0.016808008173760207
2115,311.11470344348743,0.6023618923691851,0.25,0.8523618923691851,0.748423587285193,0.7431995793352077,-0.07343808510259864,0.004881313028466201
2116,310.09012953638154,0.5847060963121048,0.24,0.8247060963121048,0.7357313182075422,0.7431932878611435,-0.08539354431062507,-0.006972464444325
2117,309.07210716398464,0.5671053251098445,0.22999999999999998,0.7971053251098444,0.7230287447281786,0.743099878114605,-0.09728123211891249,-0.018754467036276836
2118,308.06048674759984,0.5495577166855798,0.21999999999999997,0.7695577166855798,0.7103151927959575,0.7429198751528324,-0.10910217680301959,-0.030465815194263973
2119,307.0551226776405,0.5320614478494858,0.20999999999999996,0.7420614478494858,0.6975900036127889,0.7426537958523339,-0.12085738661953416,-0.04210760746863088
2120,306.05587320662096,0.5146147334930417,0.2,0.7146147334930417,0.6848525333209359,0.7423021490687098,-0.13254785022495608,-0.05368092095471999
2121,305.0626003450436,0.49721582579519624,0.2,0.6972158257951963,0.6733000000809282,0.7418694139508405,-0.135656274304912,-0.06407126032004609
2122,304.07516976010027,0.47986301344036464,0.2,0.6798630134403647,0.6626211172382392,0.7413632474348566,-0.13979930858333733,-0.07357664645571925
2123,303.0934506771133,0.46255462084833887,0.2,0.6625546208483388,0.652586101728682,0.7407893877201767,-0.1446943869900409,-0.08241715043045257
2124,302.11731578363964,0.44528900741608146,0.2,0.6452890074160815,0.6430252953883895,0.7401521559291543,-0.15013328297935635,-0.09075533848929063
2125,301.14664113616607,0.4280645667714127,0.2,0.6280645667714126,0.6338133947999488,0.7394548261935135,-0.15596260259612404,-0.0987113534941469
2126,300.1813060693254,0.41087972603859246,0.2,0.6108797260385925,0.6248578182997344,0.7386998986845131,-0.16206939519817898,-0.10637403991153724
2127,299.2211931075642,0.3937329451157621,0.2,0.5937329451157621,0.6160901247805601,0.7378893010484144,-0.16837053923779077,-0.11380915030468305
2128,298.2661878791967,0.3766227159642236,0.2,0.5766227159642237,0.6074596836649855,0.7370245370291025,-0.1748049127293635,-0.12106539898343098
2129,297.31617903277873,0.35954756190950216,0.2,0.5595475619095022,0.598929005465151,0.7361067961323831,-0.1813276178508897,-0.1281789275994616
2130,296.37105815574057,0.3425060369541737,0.2,0.5425060369541737,0.5904702972822985,0.7351370345518153,-0.18790572078402967,-0.13517659930463652
2131,295.4307196952158,0.32549672510236066,0.2,0.5254967251023607,0.5820629218892602,0.7341160348948121,-0.19451510927465432,-0.14207842879238772
2132,294.4950608810083,0.30851823969586295,0.2,0.508518239695863,0.573691523345796,0.733044450270001,-0.20113817468288675,-0.14889937491797717
2133,293.56398165063814,0.29156922276182756,0.2,0.4915692227618276,0.5653446442857583,0.7319228368379437,-0.2077621022196554,-0.15565066312076206
2134,292.63738457641153,0.27464834437189783,0.2,0.47464834437189785,0.5570137058891255,0.7307516778511592,-0.2143776098129504,-0.16234076100132439
2135,291.7151747944588,0.2577543020127278,0.2,0.4577543020127278,0.5486922553911233,0.7295314014155615,-0.22097801790609173,-0.16897609804523506
2136,290.7972599356885,0.24088581996779979,0.2,0.4408858199677998,0.5403754109422785,0.7282623936198489,-0.22755856336779873,-0.1755615966139218
2137,289.8835500586046,0.2240416487104188,0.2,0.42404164871041883,0.5320594520462787,0.7269450082474348,-0.23411589347082795,-0.18210106371436027
2138,288.97395758393753,0.20722056430778685,0.2,0.40722056430778686,0.5237415173849748,0.7255795739668747,-0.24064769269742703,-0.18859748007012728
2139,288.0683972310395,0.1904213678360704,0.2,0.3904213678360704,0.5154193818590144,0.7241663996617079,-0.2471524075235304,-0.19505321343483686
2140,287.16678595599626,0.17364288480629442,0.2,0.37364288480629443,0.5070912920632612,0.7227057783872562,-0.25362904347595977,-0.20147017602114098
2141,286.2690428914098,0.15688396460101234,0.2,0.35688396460101235,0.4987558448679174,0.721197990314022,-0.2600770155006016,-0.2078499407048401
2142,285.37508928780585,0.1401434799215632,0.2,0.34014347992156324,0.4904118977977763,0.7196433049229966,-0.2664960376542861,-0.21419382681780583
2143,284.48484845662307,0.1234203262458434,0.2,0.3234203262458434,0.48205850286851504,0.7180419826485902,-0.27288604180250975,-0.22050296350650225
2144,283.59824571474053,0.10671342129642805,0.2,0.3067134212964281,0.4736948577271796,0.7163942761135673,-0.2792471177120931,-0.22677833654024068
2145,282.7152083305031,0.0900217045189369,0.2,0.29002170451893694,0.4653202695581749,0.7147004310624984,-0.28557946892452546,-0.23302082290963985
2146,281.8356654712026,0.07334413657048473,0.2,0.27334413657048473,0.4569341284067662,0.7129606870723109,-0.2918833802686851,-0.23923121641708492
2147,280.9595481519772,0.056679698818108325,0.2,0.2566796988181083,0.44853588745042317,0.7111752780979116,-0.29815919395806517,-0.24541024662101318
2148,280.0867891860893,0.040027392847009846,0.2,0.24002739284700986,0.4401250483962259,0.7093444328956613,-0.3044072920191216,-0.2515585928762724
2149,279.21732313654564,0.02338623997848069,0.2,0.2233862399784807,0.43170115066048254,0.7074683753562595,-0.3106280833885362,-0.25767689475573397
2150,280.0,0.03836861306161274,0.2,0.23836861306161275,0.42705055808287684,0.7055599010521163,-0.28989292728690597,-0.26023913007045735
2151,280.0,0.03836861306161274,0.2,0.23836861306161275,0.42339495850573144,0.7036359076870664,-0.2853709506099771,-0.26185714291503936
2152,280.0,0.03836861306161274,0.2,0.23836861306161275,0.4204741922978236,0.7017024680000988,-0.2817579628107951,-0.26277970081620594
2153,280.0,0.03836861306161274,0.2,0.23836861306161275,0.4180963482382675,0.6997640538128415,-0.2788165697091243,-0.2631903040888819
2154,280.0,0.03836861306161274,0.2,0.23836861306161275,0.4161198588439691,0.6978239560536365,-0.2763716523283771,-0.26322430843271316
2155,280.0,0.03836861306161274,0.2,0.23836861306161275,0.4144402929131587,0.6958845945899342,-0.27429402927196467,-0.26298155548677904
2156,280.0,0.03836861306161274,0.2,0.23836861306161275,0.4129806129899654,0.6939477467773362,-0.2724884052069745,-0.26253568981091924
2157,280.0,0.03836861306161274,0.2,0.23836861306161275,0.4116839887424554,0.6920147160496344,-0.2708844810128046,-0.26194103159582804
2158,280.0,0.03836861306161274,0.2,0.23836861306161275,0.410508495720903,0.6900864562798402,-0.2694303961451443,-0.261237646346271
2159,280.0,0.03836861306161274,0.2,0.23836861306161275,0.4094232048746588,0.6881636635155044,-0.2680878913683402,-0.2604550845540062
2160,280.0,0.03836861306161274,0.2,0.23836861306161275,0.40840529796789904,0.6862468436475431,-0.2668287405246784,-0.2596151402830594
2161,280.0,0.03836861306161274,0.2,0.23836861306161275,0.40743793975396697,0.6843363623263143,-0.26563211841404444,-0.25873388605160136
2162,280.0,0.03836861306161274,0.2,0.23836861306161275,0.4065087083758468,0.6824324817823089,-0.2644826591993098,-0.2578231738709982
2163,280.0,0.03836861306161274,0.2,0.23836861306161275,0.4056084375444749,0.6805353879869714,-0.2633690241809028,-0.2568917424934688
2164,280.0,0.03836861306161274,0.2,0.23836861306161275,0.4047303624666902,0.6786452106878831,-0.26228284530968304,-0.25594603417788264
2165,280.0,0.03836861306161274,0.2,0.23836861306161275,0.40386948983537385,0.6767620381876832,-0.2612179458647448,-0.25499079718039785
2166,280.0,0.03836861306161274,0.2,0.23836861306161275,0.4030221330999987,0.6748859282456919,-0.2601697655830857,-0.25402953018413577
2167,280.0,0.03836861306161274,0.2,0.23836861306161275,0.40218556965696134,0.6730169161194264,-0.2591349366040485,-0.2530648101345273
2168,280.0,0.03836861306161274,0.2,0.23836861306161275,0.40135778797455285,0.6711550204963477,-0.2581109706629091,-0.2520985340683651
2169,280.0,0.03836861306161274,0.2,0.23836861306161275,0.40053730105858903,0.6693002478693277,-0.25709602834786194,-0.25113209749995424
