year,temperature_c_above_1750_fair_reference,gmsl_additional_since_2026_m,gmsl_rate_mm_yr,thermal_additional_m,glacier_additional_m,greenland_additional_m,antarctica_additional_m,absolute_climate_driven_component_state_m
5940,0.2000051436567733,0.183323665551804,-0.0164957690778067,6.37789675571876e-05,-0.030872112451263915,-0.04019578623194578,0.2543277852674565,0.403323665551804
5941,0.20000512653979488,0.183307179376102,-0.016486175701990735,6.360260083822233e-05,-0.030872119238266008,-0.040195799457582414,0.2543114954711122,0.403307179376102
5942,0.20000510947977806,0.18329070278726237,-0.016476588839631212,6.34267185270071e-05,-0.030872126002682812,-0.04019581264186326,0.2542952147132814,0.40329070278726237
5943,0.20000509247653328,0.18327423577877847,-0.01646700848390026,6.325131930440264e-05,-0.030872132744589484,-0.0401958257849171,0.2542789429889806,0.40327423577877847
5944,0.20000507552987162,0.1832577783441505,-0.016457434627970002,6.307640185480856e-05,-0.030872139464060935,-0.040195838886872295,0.2542626802932289,0.4032577783441505
5945,0.2000050586396048,0.18324133047688554,-0.01644786726495706,6.290196486620492e-05,-0.030872146161171822,-0.04019585194785681,0.25424642662104796,0.40324133047688554
5946,0.20000504180554515,0.18322489217049745,-0.016438306388089075,6.272800703006898e-05,-0.03087215283599655,-0.040195864967998235,0.25423018196746217,0.40322489217049745
5947,0.20000502502750558,0.18320846341850697,-0.01642875199048266,6.255452704141684e-05,-0.03087215948860928,-0.04019587794742374,0.25421394632749855,0.40320846341850697
5948,0.20000500830529974,0.1831920442144416,-0.016419204065365456,6.238152359878957e-05,-0.03087216611908393,-0.04019589088626011,0.2541977196961868,0.4031920442144416
5949,0.20000499163874177,0.18317563455183553,-0.016409662606076125,6.220899540421154e-05,-0.03087217272749416,-0.040195903784633745,0.2541815020685592,0.4031756345518355
5950,0.2000049750276465,0.18315923442422985,-0.016400127605675774,6.203694116321823e-05,-0.030872179313913402,-0.040195916642670644,0.25416529343965066,0.40315923442422985
5951,0.20000495847182936,0.18314284382517235,-0.016390599057503064,6.18653595848423e-05,-0.03087218587841483,-0.04019592946049642,0.25414909380449874,0.40314284382517235
5952,0.2000049419711064,0.18312646274821756,-0.016381076954785634,6.169424938157198e-05,-0.03087219242107138,-0.040195942238236276,0.25413290315814363,0.40312646274821756
5953,0.2000049255252943,0.18311009118692675,-0.016371561290806635,6.152360926939271e-05,-0.030872198941955746,-0.04019595497601507,0.2541167214956282,0.40311009118692676
5954,0.20000490913421032,0.18309372913486802,-0.016362052058738197,6.135343796771775e-05,-0.03087220544114038,-0.04019596767395724,0.2541005488119979,0.403093729134868
5955,0.2000048927976723,0.18307737658561593,-0.016352549252085513,6.11837341994298e-05,-0.03087221191869749,-0.040195980332186854,0.2540843851023008,0.40307737658561593
5956,0.20000487651549875,0.1830610335327519,-0.016343052864020713,6.101449669085324e-05,-0.030872218374699043,-0.04019599295082757,0.25406823036158765,0.4030610335327519
5957,0.20000486028750877,0.18304469996986408,-0.016333562887826947,6.084572417174028e-05,-0.030872224809216774,-0.040196005530002694,0.2540520845849118,0.4030446999698641
5958,0.20000484411352204,0.18302837589054718,-0.016324079316898388,6.067741537527094e-05,-0.030872231222322168,-0.04019601806983514,0.2540359477673292,0.4030283758905472
5959,0.20000482799335884,0.1830120612884026,-0.016314602144573698,6.050956903803917e-05,-0.03087223761408648,-0.04019603057044742,0.25401981990389844,0.4030120612884026
5960,0.20000481192684003,0.18299575615703847,-0.016305131364136027,6.034218390003898e-05,-0.03087224398458073,-0.04019604303196171,0.25400370098968084,0.4029957561570385
5961,0.20000479591378714,0.18297946049006944,-0.01629566696903506,6.017525870465057e-05,-0.030872250333875695,-0.040196055454499766,0.2539875910197402,0.40297946049006944
5962,0.20000477995402224,0.18296317428111683,-0.01628620895260946,6.000879219866806e-05,-0.030872256662041922,-0.04019606783818298,0.25397148998914304,0.40296317428111683
5963,0.200004764047368,0.18294689752380852,-0.01627675730830891,5.9842783132230126e-05,-0.030872262969149716,-0.04019608018313238,0.2539553978929584,0.4029468975238085
5964,0.20000474819364764,0.18293063021177922,-0.016267312029305536,5.96772302588755e-05,-0.03087226925526916,-0.04019609248946861,0.2539393147262581,0.4029306302117792
5965,0.20000473239268504,0.1829143723386699,-0.01625787310932658,5.9512132335487467e-05,-0.03087227552047009,-0.04019610475731192,0.2539232404841164,0.4029143723386699
5966,0.20000471664430466,0.1828981238981283,-0.016248440541599685,5.934748812230772e-05,-0.030872281764822117,-0.04019611698678223,0.2539071751616103,0.4028981238981283
5967,0.20000470094833145,0.18288188488380866,-0.01623901431963004,5.9183296382908646e-05,-0.03087228798839462,-0.04019612917799904,0.2538911187538194,0.40288188488380866
5968,0.20000468530459106,0.18286565528937185,-0.016229594436811823,5.901955588420715e-05,-0.030872294191256748,-0.040196141331081535,0.2538750712558259,0.40286565528937185
5969,0.20000466971290967,0.1828494351084852,-0.016220180886650226,5.885626539643696e-05,-0.03087230037347742,-0.04019615344614848,0.25385903266271465,0.4028494351084852
5970,0.20000465417311403,0.1828332243348226,-0.016210773662594935,5.869342369314856e-05,-0.03087230653512532,-0.040196165523318284,0.253843002969573,0.4028332243348226
5971,0.20000463868503146,0.1828170229620644,-0.016201372758206656,5.853102955120926e-05,-0.030872312676268908,-0.04019617756270901,0.2538269821714911,0.4028170229620644
5972,0.2000046232484899,0.18280083098389752,-0.01619197816687956,5.83690817507615e-05,-0.030872318796976418,-0.04019618956443834,0.2538109702635615,0.4028008309838975
5973,0.20000460786331778,0.1827846483940153,-0.01618258988222987,5.8207579075264526e-05,-0.030872324897315853,-0.04019620152862359,0.25379496724087947,0.4027846483940153
5974,0.20000459252934422,0.18276847518611775,-0.01617320789754073,5.8046520311438865e-05,-0.030872330977354992,-0.04019621345538171,0.25377897309854297,0.40276847518611775
5975,0.20000457724639878,0.1827523113539111,-0.016163832206650408,5.7885904249294073e-05,-0.03087233703716139,-0.0401962253448293,0.25376298783165246,0.4027523113539111
5976,0.20000456201431172,0.18273615689110825,-0.01615446280284205,5.772572968208711e-05,-0.030872343076802373,-0.04019623719708259,0.2537470114353111,0.40273615689110825
5977,0.20000454683291372,0.18272001179142836,-0.01614509967989841,5.7565995406322346e-05,-0.030872349096345043,-0.04019624901225744,0.25373104390462453,0.40272001179142836
5978,0.20000453170203614,0.18270387604859725,-0.01613574283110264,5.7406700221779294e-05,-0.030872355095856285,-0.04019626079046938,0.2537150852347011,0.40270387604859725
5979,0.20000451662151086,0.18268774965634685,-0.01612639225040402,5.724784293144325e-05,-0.030872361075402754,-0.04019627253183355,0.2536991354206517,0.40268774965634685
5980,0.2000045015911703,0.18267163260841582,-0.016117047931030193,5.70894223415469e-05,-0.03087236703505089,-0.04019628423646474,0.2536831944575899,0.4026716326084158
5981,0.2000044866108475,0.18265552489854905,-0.01610770986676391,5.6931437261542595e-05,-0.030872372974866905,-0.0401962959044774,0.2536672623406318,0.40265552489854906
5982,0.20000447168037594,0.1826394265204979,-0.016098378051165874,5.677388650408843e-05,-0.030872378894916792,-0.04019630753598562,0.2536513390648962,0.4026394265204979
5983,0.20000445679958978,0.18262333746801993,-0.016089052477963328,5.661676888503442e-05,-0.030872384795266335,-0.04019631913110312,0.2536354246255043,0.4026233374680199
5984,0.20000444196832365,0.1826072577348792,-0.01607973314071698,5.64600832234502e-05,-0.030872390675981083,-0.040196330689943285,0.2536195190175801,0.4026072577348792
5985,0.2000044271864128,0.18259118731484622,-0.01607042003298753,5.630382834156955e-05,-0.030872396537126374,-0.04019634221261914,0.25360362223625016,0.4025911873148462
5986,0.2000044124536929,0.18257512620169772,-0.016061113148502226,5.614800306481815e-05,-0.03087240237876733,-0.04019635369924337,0.2535877342766436,0.4025751262016977
5987,0.20000439777000034,0.18255907438921679,-0.016051812480932792,5.5992606221771934e-05,-0.030872408200968857,-0.04019636514992829,0.25357185513389213,0.4025590743892168
5988,0.20000438313517196,0.18254303187119278,-0.01604251802400647,5.583763664419872e-05,-0.030872414003795645,-0.040196376564785884,0.2535559848031301,0.4025430318711928
5989,0.2000043685490451,0.18252699864142144,-0.016033229771339474,5.568309316697495e-05,-0.030872419787312165,-0.04019638794392778,0.2535401232794944,0.40252699864142144
5990,0.20000435401145772,0.18251097469370478,-0.01602394771665905,5.552897462816897e-05,-0.030872425551582677,-0.040196399287465275,0.25352427055812454,0.4025109746937048
5991,0.2000043395222483,0.1824949600218511,-0.01601467185369243,5.537527986894386e-05,-0.03087243129667122,-0.040196410595509297,0.2535084266341626,0.4024949600218511
5992,0.20000432508125582,0.18247895461967492,-0.01600540217616686,5.5222007733612966e-05,-0.030872437022641634,-0.04019642186817045,0.2534925915027534,0.4024789546196749
5993,0.20000431068831986,0.18246295848099717,-0.015996138677754068,5.506915706959825e-05,-0.030872442729557532,-0.04019643310555898,0.25347676515904405,0.40246295848099717
5994,0.20000429634328046,0.18244697159964487,-0.015986881352292315,5.491672672743031e-05,-0.030872448417482323,-0.04019644430778481,0.25346094759818455,0.4024469715996449
5995,0.20000428204597828,0.18243099396945137,-0.01597763019350884,5.4764715560762234e-05,-0.030872454086479206,-0.0401964554749575,0.2534451388153273,0.40243099396945137
5996,0.2000042677962544,0.1824150255842563,-0.015968385195075374,5.461312242631411e-05,-0.030872459736611166,-0.040196466607186294,0.2534293388056274,0.4024150255842563
5997,0.20000425359395055,0.1823990664379053,-0.01595914635099671,5.446194618390077e-05,-0.030872465367940978,-0.04019647770458007,0.25341354756424245,0.4023990664379053
5998,0.2000042394389089,0.18238311652425057,-0.015949913654722536,5.431118569641791e-05,-0.03087247098053121,-0.040196488767247386,0.2533977650863327,0.4023831165242506
5999,0.20000422533097217,0.18236717583715015,-0.015940687100424178,5.416083982982822e-05,-0.030872476574444217,-0.040196499795296464,0.25338199136706097,0.40236717583715015
6000,0.20000421126998358,0.18235124437046837,-0.015931466681773365,5.4010907453147516e-05,-0.030872482149742156,-0.04019651078883519,0.25336622640159256,0.4023512443704684
6001,0.20000419725578694,0.18233532211807593,-0.015922252392441827,5.386138743847246e-05,-0.030872487706486977,-0.0401965217479711,0.25335047018509554,0.40233532211807593
6002,0.20000418328822653,0.18231940907384955,-0.015913044226378847,5.371227866091122e-05,-0.03087249324474041,-0.04019653267281141,0.25333472271274043,0.40231940907384955
6003,0.20000416936714713,0.18230350523167196,-0.015903842177589222,5.3563579998625044e-05,-0.030872498764563994,-0.04019654356346301,0.2533189839797003,0.40230350523167197
6004,0.20000415549239406,0.18228761058543227,-0.01589464623968917,5.341529033280057e-05,-0.030872504266019056,-0.04019655442003244,0.25330325398115094,0.4022876105854323
6005,0.2000041416638132,0.1822717251290256,-0.015885456406683485,5.32674085476359e-05,-0.03087250974916672,-0.04019656524262593,0.2532875327122706,0.4022717251290256
6006,0.20000412788125085,0.1822558488563533,-0.015876272672299407,5.311993353035449e-05,-0.030872515214067912,-0.04019657603134936,0.2532718201682402,0.4022558488563533
6007,0.2000041141445539,0.1822399817613227,-0.015867095030597245,5.297286417119129e-05,-0.030872520660783345,-0.040196586786308296,0.2532561163442431,0.4022399817613227
6008,0.2000041004535697,0.18222412383784722,-0.01585792347547077,5.282619936335109e-05,-0.03087252608937354,-0.04019659750760797,0.25324042123546536,0.4022241238378472
6009,0.20000408680814613,0.18220827507984647,-0.015848758000758245,5.267993800305015e-05,-0.03087253149989881,-0.0401966081953533,0.2532247348370955,0.40220827507984647
6010,0.2000040732081316,0.18219243548124617,-0.015839598600297933,5.25340789894746e-05,-0.03087253689241927,-0.04019661884964885,0.2532090571443248,0.40219243548124617
6011,0.20000405965337498,0.18217660503597796,-0.01583044526820565,5.238862122479426e-05,-0.030872542266994832,-0.040196629470598884,0.2531933881523469,0.40217660503597796
6012,0.20000404614372566,0.18216078373797964,-0.01582129799831966,5.224356361412108e-05,-0.030872547623685215,-0.040196640058307344,0.25317772785635806,0.40216078373797964
6013,0.20000403267903352,0.18214497158119505,-0.01581215678458925,5.2098905065550705e-05,-0.030872552962549933,-0.04019665061287783,0.25316207625155723,0.40214497158119505
6014,0.20000401925914899,0.18212916855957398,-0.01580302162107472,5.1954644490107005e-05,-0.0308725582836483,-0.04019666113441365,0.2531464333331458,0.402129168559574
6015,0.20000400588392292,0.18211337466707236,-0.015793892501614337,5.181078080175594e-05,-0.030872563587039444,-0.04019667162301776,0.2531307990963278,0.40211337466707237
6016,0.2000039925532067,0.1820975898976521,-0.015784769420268407,5.166731291741944e-05,-0.030872568872782287,-0.04019668207879281,0.25311517353630975,0.4020975898976521
6017,0.20000397926685223,0.18208181424528105,-0.015775652371041726,5.152423975691989e-05,-0.030872574140935555,-0.04019669250184114,0.2530995566483008,0.40208181424528106
6018,0.2000039660247119,0.18206604770393317,-0.015766541347883578,5.1381560242994007e-05,-0.030872579391557783,-0.040196702892264756,0.2530839484275127,0.40206604770393317
6019,0.20000395282663852,0.18205029026758832,-0.01575743634485427,5.123927330132061e-05,-0.030872584624707308,-0.04019671325016536,0.25306834886915963,0.4020502902675883
