pathway,cdr_gtco2_yr,marginal_cost_usd_t,cost_without_scarcity_usd_t,learning_factor,scarcity_multiplier,resource_utilization_fraction,annual_spend_usd_tn,cumulative_before_gt,year
Direct/passive mineral carbonation,0.6705882352941177,181.59033203486007,181.59033203486007,0.769879150435751,1.0,0.0,0.1217723403057297,1.6964705882352942,2032
DACCS,1.9558823529411764,411.19561096961195,411.19561096961195,0.6066575228533583,1.0,0.0,0.8042502391023293,5.91764705882353,2033
Enhanced silicate weathering,0.7823529411764705,201.68529803816054,186.7538871359212,0.8107698162274454,1.2133058700319908,0.34927223695794907,0.15778908611220793,2.367058823529412,2033
Ocean alkalinity / carbonate weathering,0.39117647058823524,212.79980624227233,212.79980624227233,0.7023984499381786,1.0,0.0,0.0832422771477124,1.183529411764706,2033
Biochar,0.586764705882353,159.4679417429482,157.90544299116536,0.9563633956492785,1.0195312343972855,0.029319959877374145,0.0935701599344652,2.760294117647059,2033
BiCRS / BECCS / durable biomass storage,1.173529411764706,154.36696250144996,149.33000565878348,0.8094643867639904,1.0629619605333314,0.07818655967299769,0.181154170700231,3.620588235294118,2033
Biological restoration,0.586764705882353,90.29233442218342,59.985910471724424,0.9976517452874041,1.631383832301229,0.3870234703813385,0.05298035505066351,11.760294117647062,2033
Direct/passive mineral carbonation,0.7823529411764705,180.39386507240522,180.39386507240522,0.7549233134050654,1.0,0.0,0.1411316709095876,2.367058823529412,2033
DACCS,2.235294117647059,402.6182576147337,402.6182576147337,0.5887880366973619,1.0,0.0,0.8999702229035225,7.873529411764706,2034
Enhanced silicate weathering,0.8941176470588235,204.32581902131125,186.04614433160586,0.8006592047372265,1.261138209852934,0.4028507045821427,0.18269132053670178,3.1494117647058824,2034
Ocean alkalinity / carbonate weathering,0.44705882352941173,210.963873453876,210.963873453876,0.687710987631008,1.0,0.0,0.0943132610734975,1.5747058823529412,2034
Biochar,0.6705882352941177,159.0820923646673,157.5182727298495,0.9482973485385318,1.0195477454352224,0.029344143850740332,0.10667857958571807,3.347058823529412,2034
BiCRS / BECCS / durable biomass storage,1.3411764705882354,153.62807408727298,148.58665504583797,0.796190268675678,1.0630177380179375,0.07825105026864088,0.20604235818763672,4.794117647058824,2034
Biological restoration,0.6705882352941177,90.32891204087127,59.98168609854446,0.996947683090744,1.6322338737984752,0.38734269882977224,0.06057350572152545,12.347058823529414,2034
Direct/passive mineral carbonation,0.8941176470588235,179.38664704405966,179.38664704405966,0.7423330880507458,1.0,0.0,0.16039276676880626,3.1494117647058824,2034
DACCS,2.514705882352941,395.3196992781052,395.3196992781052,0.573582706829386,1.0,0.0,0.9941127731846469,10.108823529411765,2035
Enhanced silicate weathering,1.0058823529411764,207.59612380361017,185.4340384008861,0.7919148342983728,1.3166012200389154,0.45731714139023755,0.20881727747304316,4.043529411764705,2035
Ocean alkalinity / carbonate weathering,0.5029411764705882,209.38876033171374,209.38876033171374,0.67511008265371,1.0,0.0,0.10531022946095014,2.0217647058823527,2035
Biochar,0.7544117647058823,158.7194168111002,157.1544644161758,0.9407180086703293,1.019561904936555,0.029364882700108563,0.11973979532955058,4.017647058823529,2035
BiCRS / BECCS / durable biomass storage,1.5088235294117647,152.98886349916853,147.9436174855951,0.7847074550999124,1.0630655751696678,0.07830635386695615,0.23083319698551016,6.13529411764706,2035
Biological restoration,0.7544117647058823,90.35935015380986,59.97710077977099,0.9961834632951663,1.6329635286258097,0.38761645164143294,0.06816815680721244,13.017647058823531,2035
Direct/passive mineral carbonation,1.0058823529411764,178.51901472369974,178.51901472369974,0.7314876840462466,1.0,0.0,0.17956912657501561,4.043529411764705,2035
DACCS,2.794117647058824,388.9899563535423,388.9899563535423,0.5603957424032132,1.0,0.0,1.0868837015760742,12.623529411764707,2036
Enhanced silicate weathering,1.1176470588235294,211.62837941739556,184.89551404621113,0.7842216292315874,1.3818980767312061,0.51266109453722,0.23652583581944212,5.049411764705882,2036
Ocean alkalinity / carbonate weathering,0.5588235294117647,208.01279138112443,208.01279138112443,0.6641023310489955,1.0,0.0,0.11624244224239307,2.524705882352941,2036
Biochar,0.8382352941176471,158.48133578972664,156.81430163851402,0.9336312841357088,1.0208379268901575,0.031230823178749898,0.1328446491178591,4.772058823529411,2036
BiCRS / BECCS / durable biomass storage,1.6764705882352942,152.76946404257296,147.37824036723822,0.774611435129254,1.067390295941684,0.08328219514333303,0.25611351324784287,7.644117647058825,2036
Biological restoration,0.8382352941176471,90.38389946576834,59.97222039940843,0.9953700665680719,1.6335766472158313,0.38784629316026337,0.07576297455218817,13.772058823529413,2036
Direct/passive mineral carbonation,1.1176470588235294,177.7583704082386,177.7583704082386,0.7219796301029822,1.0,0.0,0.19867111986803138,5.049411764705882,2036
DACCS,3.073529411764706,383.41738034449713,383.41738034449713,0.5487862090510357,1.0,0.0,1.1784445954705869,15.417647058823531,2037
Enhanced silicate weathering,1.2294117647058824,216.6328133173263,184.4152882917884,0.7773612613112628,1.4602503575076842,0.5688722745995344,0.2663309293136541,6.167058823529411,2037
Ocean alkalinity / carbonate weathering,0.6147058823529412,206.7935403740667,206.7935403740667,0.6543483229925335,1.0,0.0,0.12711720570052926,3.0835294117647054,2037
Biochar,0.9220588235294118,158.33537045429136,156.49675100719088,0.9270156459831435,1.022982743088756,0.034353905496624884,0.14599452540417748,5.610294117647058,2037
BiCRS / BECCS / durable biomass storage,1.8441176470588236,152.85232681318138,146.87461609945746,0.7656181446331687,1.0747213839215493,0.09161041465766635,0.28187767327019037,9.32058823529412,2037
Biological restoration,0.9220588235294118,90.40280269705208,59.967106186747216,0.9945176977912036,1.6340770106313514,0.3880337380099152,0.08335670189860538,14.61029411764706,2037
Direct/passive mineral carbonation,1.2294117647058824,177.08220782859377,177.08220782859377,0.7135275978574223,1.0,0.0,0.21770694962456527,6.167058823529411,2037
DACCS,3.3529411764705883,378.45143075750093,378.45143075750093,0.5384404807447936,1.0,0.0,1.2689253854810327,18.491176470588236,2038
Enhanced silicate weathering,1.3411764705882354,222.94426963211725,183.98234710647117,0.7711763872353022,1.5565988932235155,0.6259405523938212,0.2990076086830749,7.396470588235293,2038
Ocean alkalinity / carbonate weathering,0.6705882352941177,205.7006297896212,205.7006297896212,0.6456050383169694,1.0,0.0,0.13794042232951068,3.6982352941176466,2038
Biochar,1.0058823529411767,158.21133447950152,156.2002116361836,0.9208377424204921,1.0251390355414738,0.03747698781449988,0.1591419893882045,6.53235294117647,2038
BiCRS / BECCS / durable biomass storage,2.0117647058823533,152.9948636938022,146.42118008419166,0.7575210729319939,1.0821710451201316,0.09993863417199968,0.30778966696047266,11.164705882352942,2038
Biological restoration,1.0058823529411767,90.41629336809908,59.96181358811924,0.9936355980198739,1.6344683287495798,0.3881802526176621,0.09094815391732321,15.532352941176471,2038
Direct/passive mineral carbonation,1.3411764705882354,176.4743596329813,176.4743596329813,0.7059294954122661,1.0,0.0,0.23668325880188085,7.396470588235293,2038
DACCS,3.6323529411764697,373.9814482159559,373.9814482159559,0.5291280171165749,1.0,0.0,1.358432613372663,21.844117647058823,2039
Enhanced silicate weathering,1.452941176470588,231.1187826858934,183.58849803550254,0.7655499719357507,1.679004066434155,0.6838559558696791,0.3358019960200921,8.737647058823528,2039
Ocean alkalinity / carbonate weathering,0.726470588235294,204.71159597376896,204.71159597376896,0.6376927677901516,1.0,0.0,0.14871695354564976,4.368823529411764,2039
Biochar,1.089705882352941,158.10745871881807,155.9229064635522,0.9150605513240044,1.027306903190823,0.040600070132374856,0.17229062780977086,7.538235294117646,2039
BiCRS / BECCS / durable biomass storage,2.179411764705882,153.1886657019744,146.0092799937987,0.7501657141749767,1.0897423213521962,0.10826685368633295,0.3338611802504795,13.176470588235295,2039
Biological restoration,1.089705882352941,90.42459518252716,59.95639172334795,0.9927319538913252,1.6347542387329002,0.3882872566979235,0.09853621327978325,16.538235294117648,2039
Direct/passive mineral carbonation,1.452941176470588,175.92283515452397,175.92283515452397,0.6990354394315496,1.0,0.0,0.2556055310774554,8.737647058823528,2039
DACCS,3.911764705882353,369.92385577353707,369.92385577353707,0.5206746995282022,1.0,0.0,1.4470550828788362,25.476470588235294,2040
Enhanced silicate weathering,1.564705882352941,242.15059764428563,183.22748672791627,0.760392667541661,1.8417587273767049,0.742608667074453,0.3788944645492939,10.190588235294117,2040
Ocean alkalinity / carbonate weathering,0.7823529411764705,203.8093805371585,203.8093805371585,0.6304750442972679,1.0,0.0,0.15945086830260044,5.095294117647058,2040
Biochar,1.173529411764706,158.02199321971074,155.66307752706408,0.9096474484805019,1.0294864461580835,0.043723152450249866,0.18544345674901347,8.627941176470587,2040
BiCRS / BECCS / durable biomass storage,2.347058823529412,153.42735320298868,145.63228425551046,0.7434336474198299,1.0974383618434778,0.11659507320066625,0.36010302310583814,15.355882352941178,2040
Biological restoration,1.173529411764706,90.42792187580966,59.95088329494141,0.9918138824902357,1.6349383037680882,0.3883561246957931,0.10611982596602369,17.62794117647059,2040
Direct/passive mineral carbonation,1.564705882352941,175.4185045734149,175.4185045734149,0.6927313071676864,1.0,0.0,0.2744783659795786,10.190588235294117,2040
DACCS,4.1911764705882355,366.2140826310557,366.2140826310557,0.5129460054813662,1.0,0.0,1.5348678463213363,29.388235294117646,2041
