year,phase,gross_emissions_gtco2,planned_incremental_cdr_gtco2,feasible_incremental_cdr_gtco2,incremental_cdr_gtco2,net_anthropogenic_gtco2,natural_reservoir_flux_to_sinks_gtc,co2_ppm,land_binding,food_land_deficit_mha,cdr_land_mha,reservoir_permanent_gtc,reservoir_slow_gtc,reservoir_medium_gtc,reservoir_fast_gtc
2036,drawdown,16.608091796167518,8.941176470588236,8.941176470588236,8.941176470588236,7.666915325579282,4.533106849338488,437.0040219868614,False,0.0,214.2156862745098,119.26130612302727,117.29725270524573,94.22846013510663,6.778519714727173
2037,drawdown,13.400109522775944,9.83529411764706,9.83529411764706,9.83529411764706,3.5648154051288845,4.246195152387841,435.44643424040987,False,0.0,235.63725490196083,119.47272380521463,117.21788279610202,91.95567322893083,5.612500062142725
2038,drawdown,10.471937239283855,10.729411764705883,10.729411764705883,10.729411764705883,-0.25747452542202787,3.942892553042433,433.55724683796643,False,0.0,257.0588235294118,119.4574538231256,116.90533281665772,89.45364655155699,4.43160184566248
2039,drawdown,7.979047459482819,11.623529411764704,11.623529411764704,11.623529411764704,-3.6444819522818843,3.6297261789510586,431.39513799040424,False,0.0,278.4803921568627,119.24131137546435,116.38677068792914,86.76166182044557,3.2681340697892147
2040,drawdown,5.987496341121337,12.517647058823528,12.51764705882353,12.51764705882353,-6.530150717702193,3.314523748404702,429.0232984245607,False,0.0,299.9019607843137,118.85402923819451,115.6933287853375,83.9229623326772,2.1521421991332588
2041,drawdown,4.48703632384297,13.411764705882351,13.411764705882353,13.411764705882353,-8.924728382039383,3.004760677870564,426.5001256700683,False,0.0,321.3235294117647,118.32473243758939,114.8554349535678,80.97884489274355,1.1067545136542636
2042,drawdown,3.3875365951285916,14.305882352941175,14.305882352941177,14.305882352941177,-10.918345757812585,2.706423946410233,423.87000917068167,False,0.0,342.7450980392157,117.67720063268419,113.8979367857403,77.96263909531942,0.14425295561328022
2043,drawdown,2.6782371135922576,15.2,15.2,15.2,-12.521762886407743,2.4230226008605515,421.1743498434281,False,0.0,364.1666666666667,116.93457533922994,112.84496196807726,74.90595671229161,-0.7263493020009506
2044,drawdown,2.1223618171202574,15.2,15.2,15.2,-13.077638182879742,2.157339792731753,418.53483413532916,False,0.0,364.1666666666667,116.15898287822017,111.7607129959008,71.88953167148478,-1.453774676301863
2045,drawdown,1.8814101560330425,15.2,15.2,15.2,-13.318589843966956,1.9223487346372043,415.97609705596176,False,0.0,364.1666666666667,115.36910035281241,110.66449764517236,68.93621980314649,-2.046563751324321
2046,drawdown,1.7260186299608262,15.2,15.2,15.2,-13.473981370039173,1.7169446626475902,413.49482286806136,False,0.0,364.1666666666667,114.57000205813186,109.56157034171419,66.05082215295478,-2.526885603906551
2047,drawdown,1.5935674344730861,15.2,15.2,15.2,-13.606432565526912,1.5366742879689896,411.0820204136583,False,0.0,364.1666666666667,113.76304851105517,108.45334877088364,63.233249375666716,-2.9165173194089427
2048,drawdown,1.543095517731955,15.2,15.2,15.2,-13.656904482268045,1.37702385386455,408.73815322157986,False,0.0,364.1666666666667,112.95310163769359,107.34485182319261,60.487903078145465,-3.2287572496176997
2049,drawdown,1.5260166021134471,15.2,15.2,15.2,-13.673983397886552,1.235367815058877,406.45889047108193,False,0.0,364.1666666666667,112.14214186903618,106.23811910303185,57.81537218327266,-3.477408685233714
2050,drawdown,1.5151287141088141,15.2,15.2,15.2,-13.684871285891186,1.1088654675061047,404.2378627939272,False,0.0,364.1666666666667,111.33053637492479,105.13352415411799,55.214161637267026,-3.675239454802325
2051,drawdown,1.5,15.2,15.2,15.2,-13.7,0.9948303060305688,402.06867133394496,False,0.0,364.1666666666667,110.51803364566715,104.03080262700023,52.68202364701391,-3.8330706777159964
2052,drawdown,1.5,15.2,15.2,15.2,-13.7,0.8909574905654756,399.94840724818096,False,0.0,364.1666666666667,109.7055309164095,102.93087350539552,50.21824370466693,-3.9581795385837815
2053,drawdown,1.5,15.2,15.2,15.2,-13.7,0.7957213167865951,397.873002405836,False,0.0,364.1666666666667,108.89302818715186,101.83372971813644,47.82097640419707,-4.057350201895415
2054,drawdown,1.5,15.2,15.2,15.2,-13.7,0.7076654208137776,395.83907466946044,False,0.0,364.1666666666667,108.08052545789421,100.73936421196177,45.48842615848494,-4.1359603050763765
2055,drawdown,1.5,15.2,15.2,15.2,-13.7,0.6256263919894991,393.84378990474016,False,0.0,364.1666666666667,107.26802272863657,99.64776995147116,43.218845854400655,-4.19827256674496
2056,drawdown,1.5,15.2,15.2,15.2,-13.7,0.548673278882128,391.8847524848656,False,0.0,364.1666666666667,106.45551999937892,98.55893991907989,41.010535544191356,-4.247665937280496
2057,drawdown,1.5,15.2,15.2,15.2,-13.7,0.47605963066118795,389.9599183849255,False,0.0,364.1666666666667,105.64301727012128,97.4728671149738,38.86184117219631,-4.286818826094527
2058,drawdown,1.5,15.2,15.2,15.2,-13.7,0.4071854751251567,388.0675261858502,False,0.0,364.1666666666667,104.83051454086363,96.38954455706421,36.771153335935836,-4.317854341303617
2059,drawdown,1.5,15.2,15.2,15.2,-13.7,0.3415671734368,386.2060422777257,False,0.0,364.1666666666667,104.01801181160599,95.30896528094313,34.736906080646065,-4.342455417583548
2060,drawdown,1.5,15.2,15.2,15.2,-13.7,0.2788135186949914,384.37411732143426,False,0.0,364.1666666666667,103.20550908234834,94.2311223398384,32.75757572635668,-4.361956075138404
2061,drawdown,1.5,15.2,15.2,15.2,-13.7,0.21860678400228606,382.5705516372544,False,0.0,364.1666666666667,102.3930063530907,93.15600880456907,30.831679726633045,-4.377413758401717
2062,drawdown,1.5,15.2,15.2,15.2,-13.7,0.1606876940322297,380.7942676723256,False,0.0,364.1666666666667,101.58050362383305,92.08361776350088,28.957775558127977,-4.389666677114676
2063,drawdown,1.5,15.2,15.2,15.2,-13.7,0.10484350681100985,379.04428808197105,False,0.0,364.1666666666667,100.76800089457541,91.01394232250179,27.134459640111334,-4.3993792591639345
2064,drawdown,1.5,15.2,15.2,15.2,-13.7,0.050898561038073886,377.3197182635303,False,0.0,364.1666666666667,99.95549816531776,89.94697560489766,25.36036628316821,-4.407078179908737
2065,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.0012932220761943114,375.61973242206284,False,0.0,364.1666666666667,99.14299543606012,88.88271075142805,23.634166666278237,-4.4131809217269415
2066,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.05185428753413035,373.9435624380885,False,0.0,364.1666666666667,98.33049270680247,87.82114092020214,21.954567841509835,-4.418018412452483
2067,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.10088816693489111,372.29048895877776,False,0.0,364.1666666666667,97.51798997754483,86.76225928665471,20.32031176558394,-4.421852970298252
2068,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.14848322505024258,370.6598342538972,False,0.0,364.1666666666667,96.70548724828718,85.7060590435023,18.730174357581777,-4.424892528347411
2069,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.1947156343559704,369.0509564728536,False,0.0,364.1666666666667,95.89298451902954,84.65253340069941,17.182964582090943,-4.427301909951708
2070,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.2396517374557292,367.4632450145136,False,0.0,364.1666666666667,95.0804817897719,83.60167558539493,15.67752355710303,-4.429211766457566
2071,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.2833499241787747,365.89611678119616,False,0.0,364.1666666666667,94.26797906051425,82.55347884188848,14.212723685994613,-4.430725661917906
2072,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.3258621238513677,364.3490131355719,False,0.0,364.1666666666667,93.4554763312566,81.50793643158705,12.787467812941424,-4.431925688965911
2073,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.3672349924086147,362.8213974167292,False,0.0,364.1666666666667,92.64297360199896,80.46504163296171,11.40068840113312,-4.432876920377635
2074,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.4075108574999402,361.3127529014152,False,0.0,364.1666666666667,91.83047087274132,79.42478774150433,10.051346733173116,-4.433630937714291
2075,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.4467284716511868,359.82258112003956,False,0.0,364.1666666666667,91.01796814348367,78.38716806968449,8.738432133064553,-4.434228628388684
2076,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.4849236131700607,358.3504004557242,False,0.0,364.1666666666667,90.20546541422603,77.35217594690654,7.460961209199684,-4.434702402829788
2077,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.5221295662562548,356.89574496949933,False,0.0,364.1666666666667,89.39296268496838,76.31980471946667,6.217977117785653,-4.435077951973617
2078,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.5583775052580959,355.4581634064972,False,0.0,364.1666666666667,88.58045995571074,75.29004775051014,5.008548846154948,-4.435375640382266
2079,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.5936968028490233,354.0372183473061,False,0.0,364.1666666666667,87.76795722645309,74.26289841998862,3.831770515423756,-4.435611610534509
2080,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.6281152778002745,352.6324854760337,False,0.0,364.1666666666667,86.95545449719545,73.23835012461763,2.686760701975853,-4.435798658169324
2081,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.6616593947789773,351.2435529424809,False,0.0,364.1666666666667,86.1429517679378,72.2163962778341,1.5726617772638556,-4.4359469261488
2082,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.6943544260262169,349.87002080047176,False,0.0,364.1666666666667,85.33044903868016,71.19703030975398,0.4886392654333023,-4.436064454465904
2083,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.7262245827292912,348.5115005080637,False,0.0,364.1666666666667,84.51794630942251,70.18024566713012,-0.5661187817115645,-4.436157616221868
2084,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.7572931222842395,347.16761447828156,False,0.0,364.1666666666667,83.70544358016487,69.16603581330999,-1.592402392868482,-4.43623146321456
2085,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.787582436363214,345.8379956713346,False,0.0,364.1666666666667,82.89294085090722,68.15439422819375,-2.590980268979839,-4.436289999877736
2086,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.8171141236837474,344.52228722110954,False,0.0,364.1666666666667,82.08043812164958,67.14531440819232,-3.5626003590005535,-4.436336400425825
2087,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.8459090505719891,343.2201420901912,False,0.0,364.1666666666667,81.26793539239193,66.13878986618555,-4.507990420122422,-4.436373180979178
2088,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.8739874017725926,341.9312227488162,False,0.0,364.1666666666667,80.45543266313429,65.13481413148054,-5.42785856287455,-4.4364023360034315
