year,net_anthropogenic_gtco2,co2_ppm,alpha_lifetime,iirf100_years,iirf100_capped_years,cumulative_net_emissions_gtc,airborne_gtc,cumulative_uptake_gtc
2073,-13.7,355.3260595899634,0.6642896465542238,47.68720404860789,47.68720404860789,714.4277654872357,164.16322450949224,550.2645409777434
2074,-13.7,353.94406533365606,0.6614252660777906,47.637887049312745,47.637887049312745,710.6886825178034,161.2292507033518,549.4594318144516
2075,-13.7,352.58306790652466,0.6585291059610501,47.58780526985106,47.58780526985106,706.9495995483711,158.33985316555183,548.6097463828193
2076,-13.7,351.2424381914754,0.6556029146977511,47.53697998348259,47.53697998348259,703.2105165789388,155.49369628050226,547.7168202984366
2077,-13.7,349.9215678842471,0.652648380009102,47.4854317172013,47.4854317172013,699.4714336095066,152.6894886182567,546.7819449912499
2078,-13.7,348.6198685708626,0.6496671313036957,47.43318028992225,47.43318028992225,695.7323506400743,149.92598097594134,545.806369664133
2079,-13.7,347.3367708796942,0.6466607418372727,47.38024484527918,47.38024484527918,691.993267670642,147.2019645775908,544.7913030930513
2080,-13.7,346.07172369716545,0.6436307306609887,47.32664388053009,47.32664388053009,688.2541847012097,144.51626940908233,543.7379152921274
2081,-13.7,344.8241934385141,0.6405785644182933,47.27239527260299,47.27239527260299,684.5151017317775,141.86776266996546,542.647339061812
2082,-13.7,343.59366336683,0.63750565903069,47.217516301989576,47.217516301989576,680.7760187623452,139.25534732778016,541.520671434565
2083,-13.7,342.37963295492096,0.6344133812990671,47.162023674968935,47.162023674968935,677.0369357929129,136.6779607632972,540.3589750296157
2084,-13.7,341.18161728556163,0.6313030504380254,47.10593354448889,47.10593354448889,673.2978528234806,134.1345734972474,539.1632793262332
2085,-13.7,339.9991464864468,0.6281759395544484,47.04926152992655,47.04926152992655,669.5587698540484,131.6241879907266,537.9345818633218
2086,-13.7,338.8317651967495,0.6250332770774235,46.992022735878635,46.992022735878635,665.8196868846161,129.1458375126992,536.673849371917
2087,-13.7,337.6790320626385,0.621876248144006,46.934231770084914,46.934231770084914,662.0806039151838,126.69858506898149,535.3820188462023
2088,-13.7,336.54051925946,0.6187059959436141,46.87590276055669,46.87590276055669,658.3415209457515,124.28152238783352,534.059998557918
2089,-13.7,335.4158120385699,0.6155236230228319,46.81704937196289,46.81704937196289,654.6024379763193,121.89376895788395,532.7086690184353
2090,-13.7,334.3045082970277,0.6123301925518209,46.75768482131364,46.75768482131364,650.863355006887,119.5344711145899,531.3288838922971
2091,-13.7,333.20621816854754,0.6091267295532187,46.69782189297373,46.69782189297373,647.1242720374547,117.20280117182638,529.9214708656283
2092,-13.7,332.120563634256,0.605914222094276,46.63747295303402,46.63747295303402,643.3851890680224,114.89795659552543,528.487232472497
2093,-13.7,331.0471781519359,0.6026936224429483,46.57664996306665,46.57664996306665,639.6461060985902,112.61915921655994,527.0269468820302
